# die	292.62	292.62
# bins	64
# instances	18510	1499
all	10	0.038,0.000,0.000,0.000,0.344,0.254,0.356,0.407,0.344,0.293,0.433,0.369,0.267,0.267,0.369,0.623,0.445,0.369,0.509,0.369,0.318,0.267,0.394,0.433,0.254,0.280,0.267,0.331,0.369,0.471,0.204,0.445,0.394,0.178,0.369,0.471,0.458,0.229,0.573,0.356,0.331,0.267,0.318,0.267,0.254,0.445,0.280,0.356,0.445,0.471,0.687,0.280,0.204,0.509,0.484,0.573,0.331,0.700,0.458,0.407,0.305,0.204,0.534,0.369
ff	10	0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.242,0.242,0.242,0.242,0.000,0.000,0.242,0.000,0.484,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
all	11	0.038,0.000,0.038,0.420,0.382,0.356,0.331,0.293,0.293,0.407,0.305,0.509,0.216,0.547,0.331,0.433,0.254,0.229,0.369,0.369,0.458,0.369,0.191,0.331,0.433,0.331,0.458,0.318,0.280,0.318,0.433,0.458,0.420,0.560,0.420,0.305,0.560,0.318,0.293,0.369,0.293,0.305,0.433,0.484,0.178,0.305,0.331,0.305,0.382,0.254,0.662,0.433,0.522,0.420,0.585,0.382,0.573,0.356,0.267,0.687,0.560,0.420,0.394,0.064
ff	11	0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.216,0.216,0.216,0.216,0.216,0.458,0.242,0.000,0.242,0.000,0.242,0.216,0.000,0.000,0.000,0.000,0.000,0.000,0.000
all	12	0.038,0.000,0.076,0.369,0.305,0.280,0.318,0.267,0.407,0.356,0.433,0.344,0.318,0.331,0.394,0.369,0.560,0.687,0.407,0.420,0.165,0.229,0.585,0.305,0.305,0.420,0.534,0.522,0.344,0.280,0.382,0.407,0.305,0.318,0.496,0.356,0.471,0.382,0.344,0.382,0.280,0.458,0.267,0.331,0.293,0.534,0.420,0.484,0.585,0.534,0.394,0.433,0.229,0.674,0.242,0.458,0.344,0.407,0.344,0.547,0.534,0.254,0.356,0.216
ff	12	0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.242,0.000,0.242,0.242,0.000,0.242,0.242,0.000,0.000,0.000,0.000,0.000,0.000
all	13	0.051,0.000,0.369,0.394,0.560,0.318,0.382,0.585,0.484,0.394,0.522,0.331,0.344,0.458,0.598,0.700,0.420,0.420,0.484,0.382,0.394,0.420,0.458,0.547,0.611,0.331,0.484,0.623,0.471,0.445,0.674,0.547,0.522,0.751,0.165,0.445,0.407,0.534,0.547,0.700,0.789,0.522,0.407,0.484,0.891,0.534,0.433,0.344,0.547,0.369,0.280,0.484,0.407,0.611,0.547,0.522,0.522,0.407,0.458,0.407,0.484,0.356,0.331,0.445
ff	13	0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.242,0.000,0.000,0.000,0.242,0.000,0.458,0.216,0.242,0.216,0.216,0.458,0.216,0.242,0.216,0.216,0.000,0.000,0.242,0.000,0.242,0.242,0.242,0.484,0.242,0.000,0.000,0.000,0.000,0.000,0.000
all	14	0.038,0.229,0.420,0.204,0.254,0.280,0.369,0.140,0.153,0.445,0.242,0.420,0.254,0.331,0.344,0.394,0.254,0.394,0.369,0.496,0.356,0.433,0.471,0.471,0.127,0.318,0.305,0.382,0.433,0.382,0.369,0.471,0.305,0.522,0.369,0.394,0.789,0.802,0.662,0.369,0.662,0.394,0.585,0.293,0.356,0.331,0.471,0.433,0.344,0.254,0.433,0.407,0.318,0.318,0.394,0.484,0.305,0.547,0.560,0.305,0.293,0.522,0.433,0.445
ff	14	0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.242,0.000,0.216,0.000,0.000,0.242,0.216,0.484,0.000,0.242,0.216,0.242,0.000,0.216,0.216,0.216,0.216,0.216,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.242,0.000,0.000,0.000,0.000,0.000,0.242
